TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
SALA/CONJUNTO COMERCIAL,COMPRA,320000,256000,AVENIDA,TAQUARA,PETROPOLIS,PORTO ALEGRE,RS,52.0,0,0,0,366743,0.0,0,0,0,2023-08-05,-,-29.6282086,-50.8282846
SALA/CONJUNTO COMERCIAL,COMPRA,319000,299860,RUA,BARAO DO GRAVATAI,MENINO DEUS,PORTO ALEGRE,RS,51.0,0,0,0,352534,0.0,0,0,0,2023-08-05,-,-30.0443239,-51.2258336
LOJA,COMPRA,300000,270000,RUA,ITAPITOCAI,CRISTAL,PORTO ALEGRE,RS,34.0,0,0,1,409633,0.0,0,0,0,2023-08-05,-,-30.0911079,-51.2365434
SALA/CONJUNTO COMERCIAL,COMPRA,300000,285000,RUA,VICENTE DA FONTOURA,SANTA CECILIA,PORTO ALEGRE,RS,76.0,0,1,2,413661,0.0,0,0,0,2023-08-05,-,-30.0363907,-51.1957673
SALA/CONJUNTO COMERCIAL,COMPRA,295000,270000,RUA,DEMETRIO RIBEIRO,CENTRO HISTORICO,PORTO ALEGRE,RS,100.0,1,0,1,417756,0.0,0,0,0,2023-08-05,-,-30.0360874,-51.228137
SALA/CONJUNTO COMERCIAL,COMPRA,290000,261000,AVENIDA,ASSIS BRASIL,JARDIM LINDOIA,PORTO ALEGRE,RS,25.0,0,1,2,388342,0.0,1,0,1,2023-08-05,-,-29.9799682,-51.1144159
LOJA,COMPRA,280000,246400,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,63.0,0,0,0,379710,0.0,0,0,0,2023-08-05,-,-30.0760656,-51.1315976
SALA/CONJUNTO COMERCIAL,COMPRA,280000,266000,AVENIDA,FARRAPOS,FLORESTA,PORTO ALEGRE,RS,123.0,0,0,1,408068,0.0,0,0,0,2023-08-05,-,-29.995022,-51.1885443
SALA/CONJUNTO COMERCIAL,COMPRA,270000,256000,AVENIDA,IPIRANGA,CENTRAL PARQUE,PORTO ALEGRE,RS,35.0,0,1,0,157965,0.0,0,0,1,2023-08-05,-,-30.0554878,-51.1692291
SALA/CONJUNTO COMERCIAL,COMPRA,270000,256300,AVENIDA,IPIRANGA,CENTRAL PARQUE,PORTO ALEGRE,RS,35.0,0,1,0,128222,0.0,0,0,1,2023-08-05,-,-30.0554878,-51.1692291
